ticker,earn_date,sig,entry_date,entry,first12,mcap_pit,tier,sector,industry,profitable,lumpy,val_ok,rev_yoy,pe,ps,ret6,xs6,ret12,xs12,ret24,xs24
HLNE,2025-02-04,S2b,2025-02-05,165.5,False,,,Financial,Asset Management,True,False,True,0.343,,,-0.0719,-0.1174,-0.2142,-0.3489,,
HLT,2021-07-29,S2a+S2b,2021-07-30,129.7,True,36.146,large,Consumer Cyclical,Lodging,False,False,True,1.356,,9.0,0.1039,0.071,-0.0246,0.0225,0.1894,0.1133
HLT,2021-10-27,S2a,2021-10-28,144.1,False,40.162,large,Consumer Cyclical,Lodging,True,False,False,0.875,1029.8,8.3,0.1039,0.1643,-0.076,0.0624,0.0281,0.1042
HLT,2022-05-03,S2b,2022-05-04,149.38,False,41.675,large,Consumer Cyclical,Lodging,True,False,True,0.969,87.7,7.3,-0.1393,-0.0238,-0.0537,-0.014,0.3155,0.0861
HLX,2022-10-26,S1+S2b,2022-10-27,6.33,True,0.958,small,Energy,Oil & Gas Equipment & Services,False,False,True,0.508,,1.3,0.1074,0.0129,0.5592,0.4614,0.4913,-0.0823
HLX,2023-04-26,S2b,2023-04-27,7.01,False,1.064,small,Energy,Oil & Gas Equipment & Services,False,False,True,0.666,,1.3,0.408,0.405,0.6148,0.3646,-0.1227,-0.495
HLX,2023-07-27,S2a+S2b,2023-07-28,9.56,False,1.467,small,Energy,Oil & Gas Equipment & Services,False,False,True,0.899,,1.5,0.0628,-0.0206,0.1956,-0.0133,-0.3462,-0.7773
HLX,2023-10-25,S1超+S2a,2023-10-26,9.98,False,1.533,small,Energy,Oil & Gas Equipment & Services,False,False,True,0.452,,1.2,0.1343,-0.1066,-0.0641,-0.4867,-0.3297,-1.0336
HNI,2022-08-02,S1,2022-08-03,29.65,True,1.263,small,Consumer Cyclical,"Furnishings, Fixtures & Appliances",True,False,True,0.218,15.6,0.6,-0.0312,-0.0348,-0.112,-0.2127,0.6686,0.3435
HNI,2023-08-08,S1,2023-08-09,29.53,True,1.223,small,Consumer Cyclical,"Furnishings, Fixtures & Appliances",True,False,True,-0.094,14.9,0.5,0.3333,0.2004,0.5959,0.3834,0.417,-0.0505
HNNA,2024-08-08,S2b,2024-08-09,7.99,True,0.061,micro,Financial,Asset Management,True,False,True,0.365,10.4,2.3,0.4217,0.2795,0.36,0.1496,,
HNNA,2025-02-13,S2b,2025-02-14,11.44,False,0.089,micro,Financial,Asset Management,True,False,True,0.58,11.7,2.9,-0.1156,-0.1798,-0.1465,-0.2778,,
HNST,2022-11-10,S1,2022-11-11,3.35,True,0.31,small,Consumer Defensive,Household & Personal Products,False,False,True,0.023,,1.0,-0.3701,-0.413,-0.5582,-0.6813,0.4507,-0.096
HNST,2023-11-08,S1,2023-11-09,1.48,False,0.141,micro,Consumer Defensive,Household & Personal Products,False,False,True,0.019,,0.4,1.1149,0.9073,1.9662,1.5687,0.7703,0.159
HNST,2024-05-08,S1,2024-05-09,3.13,True,0.304,small,Consumer Defensive,Household & Personal Products,False,False,True,0.034,,0.9,0.4026,0.2453,0.5463,0.4476,0.1629,-0.2896
HNST,2024-11-12,S2a,2024-11-13,6.01,False,0.608,small,Consumer Defensive,Household & Personal Products,False,False,True,0.152,,1.7,-0.1464,-0.1354,-0.5691,-0.7081,,
HNST,2025-05-07,S2a,2025-05-08,4.38,False,0.484,small,Consumer Defensive,Household & Personal Products,False,False,True,0.128,,1.3,-0.3916,-0.5858,-0.1689,-0.4893,,
HOFT,2021-06-10,S2b,2021-06-11,31.13,True,0.371,small,Consumer Cyclical,"Furnishings, Fixtures & Appliances",True,False,True,0.557,11.0,0.6,-0.4107,-0.5273,-0.5736,-0.5044,-0.5136,-0.567
HOFT,2022-09-08,S1,2022-09-09,12.31,True,0.147,micro,Consumer Cyclical,"Furnishings, Fixtures & Appliances",True,True,True,-0.059,9.8,0.2,0.4244,0.453,0.2239,0.1103,0.1425,-0.2424
HOFT,2022-12-08,S1,2022-12-09,14.74,False,0.168,micro,Consumer Cyclical,"Furnishings, Fixtures & Appliances",True,False,True,0.136,13.6,0.3,0.0038,-0.0985,0.3533,0.1647,0.0388,-0.5441
HOUR,2022-11-14,S2b,2022-11-15,2.89,True,0.101,micro,Consumer Cyclical,Internet Retail,False,True,True,0.684,,1.8,-0.2976,-0.3427,-0.5035,-0.6497,-0.4256,-0.9389
HOUR,2023-05-12,S2b,2023-05-15,2.03,False,0.071,micro,Consumer Cyclical,Internet Retail,False,True,True,0.705,,1.1,-0.2931,-0.3898,-0.4483,-0.7496,-0.33,-0.7989
HOUR,2023-11-13,S1+S2b,2023-11-14,1.47,False,0.052,micro,Consumer Cyclical,Internet Retail,False,False,True,0.661,,0.6,-0.1973,-0.3718,0.0816,-0.2585,0.3673,-0.1688
HOUR,2024-05-06,S1+S2a,2024-05-07,1.2,True,0.042,nano,Consumer Cyclical,Internet Retail,False,False,True,0.172,,0.4,0.1167,-0.0423,0.0083,-0.0906,1.2167,0.7676
HOUR,2024-08-09,S2a+S2b,2024-08-12,1.27,False,0.045,nano,Consumer Cyclical,Internet Retail,True,False,True,0.252,47.9,0.4,0.5827,0.444,0.4331,0.2129,,
HOV,2021-06-04,S2b,2021-06-07,105.02,True,0.669,small,Consumer Cyclical,Residential Construction,True,True,True,0.306,37.4,0.3,-0.0019,-0.1183,-0.4332,-0.4308,-0.1407,-0.1817
HP,2022-01-31,S2b,2022-02-01,25.39,True,2.685,mid,Energy,Oil & Gas Drilling,False,False,True,0.665,,2.1,0.5101,0.5965,0.5825,0.6608,0.399,0.2848
HP,2022-07-27,S2a+S2b,2022-07-28,37.55,False,3.953,mid,Energy,Oil & Gas Drilling,False,False,True,0.661,,2.3,0.1268,0.119,0.0455,-0.0981,-0.0358,-0.4183
HP,2023-01-30,S2a+S2b,2023-01-31,41.66,False,4.37,mid,Energy,Oil & Gas Drilling,True,False,True,0.76,74.6,2.0,-0.051,-0.1857,-0.1265,-0.3325,-0.2855,-0.8078
HP,2025-05-09,S2b,2025-05-12,18.33,True,1.822,small,Energy,Oil & Gas Drilling,True,False,True,0.478,7.9,0.6,0.4194,0.2405,1.1238,0.8431,,
HPK,2021-05-17,S2a,2021-05-18,8.6,True,0.797,small,Energy,Oil & Gas E&P,False,False,True,,,,0.5678,0.4201,1.8418,1.878,0.5747,0.5261
HPK,2021-08-09,S2a,2021-08-10,10.42,False,0.966,small,Energy,Oil & Gas E&P,False,False,True,,,,0.8527,0.8309,0.9265,0.9643,0.343,0.3047
