tk,ret,pkr,mul,dd,pass,spy
APG,2.639,3.303,-0.229,-0.274,False,0.839122542773342
PAGP,2.412,2.668,-0.045,-0.223,False,0.8008788571757468
IONQ,3.822,6.701,-0.384,-0.676,False,0.7756737241680982
H,1.584,1.736,-0.074,-0.373,False,0.8152785838880152
NVR,0.292,0.93,-0.286,-0.439,True,0.9235790984689998
RBRK,0.136,0.382,-0.393,-0.561,False,0.25772361318498915
BEN,0.426,0.426,-0.347,-0.474,True,0.8063489460020139
THC,1.685,2.438,-0.473,-0.589,True,0.817223650596163
GPC,0.038,0.506,-0.182,-0.457,True,0.8299517463157762
SMCI,5.139,25.378,-0.227,-0.848,True,0.6953580442761287
CDE,0.974,2.236,-0.76,-0.818,False,1.0441306949630862
NBIX,0.967,0.993,-0.111,-0.429,True,0.839122542773342
NXT,1.033,1.738,-0.452,-0.486,True,0.5403484028155643
CF,1.514,2.186,-0.088,-0.484,True,0.8023451580849241
ZBH,-0.389,0.027,-0.424,-0.439,True,0.8063489460020139
WES,1.346,1.575,-0.091,-0.185,True,0.8957651064345447
TLN,1.779,2.435,0.0,-0.338,False,0.4065598090233251
RGLD,1.0,2.056,-0.167,-0.407,True,1.0769473707054105
TOST,0.227,1.107,-0.046,-0.547,False,0.469963978132097
LYB,-0.258,0.287,-0.426,-0.554,True,0.817223650596163
ITT,1.05,1.402,-0.33,-0.38,False,0.8008788571757468
KIM,0.315,0.359,-0.238,-0.336,True,0.6953580442761287
WY,-0.265,0.147,-0.346,-0.43,True,0.9158349783405422
SGI,0.9,1.401,-0.518,-0.585,True,0.8152785838880152
BBY,-0.165,0.193,-0.434,-0.526,True,0.8918076158487358
TPG,0.026,0.72,-0.071,-0.448,True,0.4788977151606493
WSO,0.684,1.253,-0.162,-0.416,True,0.8038550464912124
SITM,7.429,9.796,-0.122,-0.781,False,0.9229778298067113
MEDP,2.112,2.553,-0.255,-0.429,True,0.8151543709828799
GEN,0.288,0.555,-0.288,-0.436,True,0.9005650152212934
HST,0.837,0.904,-0.089,-0.36,False,0.8038550464912124
CG,0.343,1.156,-0.289,-0.568,False,1.0529199299928114
TSCO,-0.096,0.726,-0.183,-0.527,True,0.9077429187656374
CPT,-0.153,0.111,-0.447,-0.502,False,0.7296158296339583
ALB,-0.393,0.38,-0.778,-0.839,False,0.839122542773342
WPC,0.279,0.368,-0.211,-0.211,True,0.6919278004007945
PAA,2.396,2.687,-0.058,-0.223,False,0.8008788571757468
CLH,1.938,2.17,-0.163,-0.309,True,0.8152785838880152
TTMI,11.808,14.785,-0.201,-0.357,False,0.8152785838880152
WCC,2.857,3.498,-0.05,-0.374,False,1.0588743903614963
DOC,-0.14,0.124,-0.484,-0.541,False,0.9229778298067113
JAZZ,0.547,0.569,-0.363,-0.42,False,0.8063489460020139
TRU,-0.147,0.233,-0.512,-0.519,True,0.8964042922773103
PR,3.506,4.612,-0.109,-0.443,False,0.8152785838880152
BBIO,10.122,10.927,-0.222,-0.491,False,0.9068989246256576
GNRC,-0.163,0.567,-0.745,-0.837,True,1.0699264163248094
ONTO,3.55,3.901,-0.235,-0.628,True,0.8038550464912124
SUI,-0.049,0.403,-0.281,-0.487,False,1.0528674337113038
OVV,1.465,1.976,-0.051,-0.471,False,0.9032471620661233
CSL,0.458,0.904,-0.199,-0.377,True,0.9152764175839752
YUMC,-0.296,0.119,-0.513,-0.565,True,0.9077429187656374
OWL,-0.072,1.624,-0.137,-0.671,False,1.079143048901234
EG,0.501,0.649,-0.105,-0.238,True,0.9129008781490326
ARMK,1.349,1.382,-0.157,-0.276,False,0.800105771635057
DTM,0.522,0.596,0.0,-0.098,True,0.3619550759866952
RGA,0.88,0.968,-0.248,-0.271,True,0.8939588917373562
DECK,0.761,2.916,-0.337,-0.643,True,0.9033375583012822
REG,0.309,0.349,-0.252,-0.301,True,0.6953580442761287
RRX,0.483,0.54,-0.398,-0.481,True,0.8076348334917285
PTC,-0.085,0.654,-0.254,-0.481,False,0.9235790984689998
SWK,-0.477,0.053,-0.698,-0.713,True,0.9153754763333528
UNM,3.307,3.37,-0.078,-0.283,True,1.0441306949630862
WMG,-0.151,0.368,-0.371,-0.54,False,0.8063489460020139
ALLY,0.216,0.247,-0.236,-0.298,True,0.4736007573254042
NTNX,-0.222,0.262,-0.477,-0.586,False,0.4903509888823445
COO,-0.231,0.218,-0.37,-0.482,True,0.8918076158487358
LOGI,-0.018,0.331,-0.571,-0.678,True,1.0874880314551407
EXEL,2.128,2.175,-0.133,-0.354,True,0.8038550464912124
BTSG,3.155,3.155,-0.071,-0.356,False,0.3310454178350948
